Time,Title,Rate Limit Remaining
Sat Apr  5 03:55:08 2025,Massive Expansion Of Italy’s Piracy Shield Underway Despite Growing Criticism Of Its Flaws,999.0
Sat Apr  5 03:55:13 2025,Trump Accused of Using ChatGPT to Create Tariff Plan After AI Leads Users to Same Formula: 'So AI is Running the Country',999.0
Sat Apr  5 03:55:18 2025,TSMC To Operate Intel Fabs Under Tentative Joint Venture,999.0
Sat Apr  5 03:55:23 2025,"Google Is Helping the Trump Administration Deploy AI Along the Mexican Border | Google is part of a Customs and Border Protection plan to use machine learning for surveillance, documents reviewed by The Intercept reveal",999.0
Sat Apr  5 03:55:28 2025,PC prices up at least 20%: Trump Tariffs may hurt U.S. system integrators most | Boutique PC builders like Maingear and Falcon Northwest bear the brunt of the costs.,999.0
Sat Apr  5 03:55:33 2025,Amazon reportedly submits last-minute bid to acquire TikTok | TechCrunch,999.0
Sat Apr  5 03:55:38 2025,"The Louvre in Paris is retiring the current rentable audio/video guides that uses 5,000 Nintendo 3DS consoles in September 2025",999.0
Sat Apr  5 03:55:43 2025,E.U. Prepares Major Penalties Against X. European regulators are considering fining X more than $1 billion,999.0
Sat Apr  5 03:55:48 2025,A Pentagon inspector general announces investigation into Hegseth's use of Signal,999.0
Sat Apr  5 03:55:53 2025,Intel and TSMC agree to form chipmaking joint venture: Report,999.0
Sat Apr  5 03:55:58 2025,"Fintech stocks such as Affirm, PayPal plunge on concern Trump tariffs will hurt consumer spending",999.0
Sat Apr  5 03:56:03 2025,"US tech, retail stocks lead rout after Trump's tariff blow",999.0
Sat Apr  5 03:56:08 2025,"""ChatGPT Plus is free for Canadian, US students during exam season, Sam Altman announces""",999.0
Sat Apr  5 03:56:13 2025,Tesla investors brace for another year of sales decline as backlash grows,999.0
Sat Apr  5 03:56:18 2025,NSA director and Cyber Command chief Timothy Haugh fired,999.0
Sat Apr  5 03:56:23 2025,"Spotify debuts Gen AI ads, programmatic ad buying",999.0
Sat Apr  5 03:56:28 2025,Crossing the U.S. Border? Here’s How to Protect Yourself,999.0
Sat Apr  5 03:56:33 2025,DMA complaint against Apple for failure to enable the Tuta email app as default mail app on iOS,999.0
Sat Apr  5 03:56:38 2025,Trump Shocks With Massive New Tariffs That Could Make The Switch 2 Cost More Than $600,999.0
Sat Apr  5 03:56:43 2025,"China’s cities may see ‘flying taxis’ as soon as three years, aviation company Ehang predicts",999.0
Sat Apr  5 03:56:48 2025,Trump tariffs could stymie Big Tech's US data center spending spree,999.0
Sat Apr  5 03:56:53 2025,"Europe EV Sales Report — In 2025, BEV Sales Jumping 49% (Excluding Tesla)",999.0
Sat Apr  5 03:56:58 2025,Intel and TSMC reach tentative deal on chip manufacturing: Report,999.0
Sat Apr  5 03:57:03 2025,"How Bill Gates, the Altair 8800 and BASIC propelled me into the PC revolution",999.0
Sat Apr  5 03:57:08 2025,Who might buy TikTok as ban deadline looms? Amazon joins bidders,999.0
Sat Apr  5 03:57:13 2025,"Look, no patches! Why Chainguard OS might be the most secure Linux ever",999.0
Sat Apr  5 03:57:18 2025,Why Trump’s tariffs are so bad for Big Tech,999.0
Sat Apr  5 03:57:23 2025,Fake Down Syndrome Influencers Created With AI Are Being Used to Promote OnlyFans Content,999.0
Sat Apr  5 03:57:28 2025,The Founder of OnlyFans Wants to Buy TikTok,999.0
Sat Apr  5 03:57:33 2025,FAA Warns Boeing 787 Radio Can Cut Off Air Traffic Radio Without Notice,999.0
Sat Apr  5 03:57:38 2025,World's first 1 nanometre Risc V chip,999.0
Sat Apr  5 03:57:43 2025,Wikipedia servers are struggling under pressure from AI scraping bots,999.0
Sat Apr  5 03:57:48 2025,Report: X could be looking at $1B fine from EU over illicit content and misinformation,999.0
Sat Apr  5 03:57:53 2025,G.Skill unveils first 128GB DDR5-8000 memory kit and ultra-fast DDR5-9000 64GB options,999.0
Sat Apr  5 03:57:58 2025,How Dating Apps Could Unlock At-Home HIV Testing | Think Global Health,999.0
Sat Apr  5 03:58:03 2025,"Trump May Finally Move to Cash Out His $2 Billion Stake in Truth Social | Other Trump orbiters might sell, too.",999.0
Sat Apr  5 03:58:08 2025,"A stunning number of electric vehicle, battery factories are being canceled. Billions of dollars in clean energy projects have been canceled since Donald Trump took office again.",999.0
Sat Apr  5 03:58:13 2025,Microsoft is now 50 years old,999.0
Sat Apr  5 03:58:18 2025,"AI’s $4.8 trillion future: UN Trade and Development alerts on divides, urges action",999.0
Sat Apr  5 03:58:23 2025,"Wall Street's biggest tech bull warns of $3,500 iPhones as 'economic Armageddon' looms from Trump tariffs",999.0
Sat Apr  5 03:58:28 2025,"Trump Says That Chip Tariffs Are Starting ""Very Soon""",999.0
Sat Apr  5 03:58:33 2025,"""Trump Tariffs Could Triple iPhone Price to $3,500, Threatening AI Progress""",999.0
Sat Apr  5 03:58:38 2025,"""Every first-party Nintendo Switch 2 game will cost $70 or $80 – even the old ones | Nintendo cites upgrades, inflation, and tariffs as reasons for the higher prices""",999.0
Sat Apr  5 03:58:43 2025,Tech CEOs who grinned behind Trump at inauguration lose billions in wake of tariffs,999.0
Sat Apr  5 03:58:48 2025,Investors sue ByteDance for $58 billion over ‘rigged’ TikTok acquisition,999.0
